model-1617599740,1617599740.385,0.55,0.2483,0.52,0.2494
model-1617599740,1617599740.412,0.42,0.2598,0.48,0.2595
model-1617599740,1617599740.437,0.48,0.253,0.52,0.25
model-1617599740,1617599740.463,0.48,0.2608,0.58,0.2454
model-1617599740,1617599740.49,0.49,0.2529,0.48,0.2575
model-1617599740,1617599740.516,0.55,0.2489,0.42,0.2568
model-1617599740,1617599740.541,0.48,0.2501,0.5,0.2501
model-1617599740,1617599740.567,0.57,0.2491,0.48,0.25
model-1617599740,1617599740.594,0.53,0.2495,0.53,0.2495
model-1617599740,1617599740.62,0.53,0.2493,0.53,0.2495
model-1617599740,1617599740.645,0.42,0.2518,0.51,0.2497
model-1617599740,1617599740.668,0.47,0.2504,0.47,0.2507
model-1617599740,1617599740.69,0.51,0.2498,0.57,0.2484
model-1617599740,1617599740.708,0.54,0.2488,0.54,0.2488
model-1617599740,1617599740.728,0.52,0.2487,0.52,0.2495
model-1617599740,1617599740.746,0.46,0.2521,0.46,0.2517
model-1617599740,1617599740.764,0.42,0.2526,0.46,0.251
model-1617599740,1617599740.782,0.59,0.2479,0.46,0.2511
model-1617599740,1617599740.804,0.58,0.2495,0.46,0.2508
model-1617599740,1617599740.822,0.51,0.2499,0.43,0.2502
model-1617599740,1617599740.84,0.46,0.2505,0.51,0.2499
model-1617599740,1617599740.859,0.51,0.2501,0.59,0.2491
model-1617599740,1617599740.877,0.46,0.251,0.55,0.2494
model-1617599740,1617599740.895,0.48,0.2507,0.44,0.2516
model-1617599740,1617599740.915,0.51,0.2497,0.52,0.2493
model-1617599740,1617599740.932,0.5,0.25,0.58,0.2476
model-1617599740,1617599740.951,0.5,0.2496,0.51,0.2498
model-1617599740,1617599740.97,0.46,0.2521,0.5,0.2501
model-1617599740,1617599740.987,0.51,0.2497,0.57,0.2463
model-1617599740,1617599741.005,0.49,0.2507,0.5,0.2497
model-1617599740,1617599741.025,0.51,0.249,0.46,0.2535
model-1617599740,1617599741.042,0.47,0.2498,0.43,0.2526
model-1617599740,1617599741.06,0.57,0.2483,0.54,0.2477
model-1617599740,1617599741.077,0.53,0.2502,0.52,0.2492
model-1617599740,1617599741.096,0.51,0.2489,0.54,0.2482
model-1617599740,1617599741.115,0.45,0.2505,0.5,0.2493
model-1617599740,1617599741.135,0.47,0.2506,0.52,0.2501
model-1617599740,1617599741.153,0.6,0.2457,0.52,0.2489
model-1617599740,1617599741.17,0.57,0.2467,0.45,0.2528
model-1617599740,1617599741.187,0.56,0.2483,0.55,0.2506
model-1617599740,1617599741.205,0.58,0.2473,0.57,0.2479
model-1617599740,1617599741.223,0.54,0.2476,0.59,0.2472
model-1617599740,1617599741.243,0.51,0.2483,0.51,0.2479
model-1617599740,1617599741.26,0.6,0.2459,0.59,0.2447
model-1617599740,1617599741.278,0.51,0.2496,0.63,0.2437
model-1617599740,1617599741.295,0.54,0.2408,0.49,0.25
model-1617599740,1617599741.313,0.5,0.2464,0.47,0.2516
model-1617599740,1617599741.331,0.5,0.2522,0.47,0.248
model-1617599740,1617599741.353,0.46,0.2551,0.5,0.2497
model-1617599740,1617599741.371,0.53,0.2464,0.59,0.24
model-1617599740,1617599741.388,0.5,0.2479,0.54,0.2442
model-1617599740,1617599741.41,0.58,0.2402,0.55,0.2478
model-1617599740,1617599741.428,0.61,0.2415,0.46,0.2485
model-1617599740,1617599741.445,0.56,0.2438,0.59,0.2406
model-1617599740,1617599741.467,0.58,0.241,0.59,0.2379
model-1617599740,1617599741.484,0.43,0.261,0.48,0.2494
model-1617599740,1617599741.502,0.47,0.2645,0.6,0.2414
model-1617599740,1617599741.519,0.67,0.2315,0.58,0.244
model-1617599740,1617599741.537,0.62,0.2393,0.54,0.2425
model-1617599740,1617599741.555,0.62,0.2413,0.5,0.2583
model-1617599740,1617599741.58,0.5,0.2528,0.52,0.2482
model-1617599740,1617599741.598,0.59,0.2462,0.69,0.23
model-1617599740,1617599741.615,0.46,0.2665,0.51,0.2443
model-1617599740,1617599741.634,0.54,0.253,0.59,0.2366
model-1617599740,1617599741.652,0.49,0.2608,0.51,0.252
model-1617599740,1617599741.67,0.46,0.2614,0.52,0.2519
model-1617599740,1617599741.692,0.56,0.2345,0.59,0.2455
model-1617599740,1617599741.71,0.55,0.2513,0.56,0.2382
model-1617599740,1617599741.728,0.54,0.2395,0.52,0.2499
model-1617599740,1617599741.745,0.6,0.2512,0.57,0.2326
model-1617599740,1617599741.763,0.58,0.2479,0.55,0.2436
model-1617599740,1617599741.781,0.58,0.2389,0.51,0.2466
model-1617599740,1617599741.802,0.57,0.2453,0.7,0.2333
model-1617599740,1617599741.819,0.5,0.2511,0.53,0.247
model-1617599740,1617599741.837,0.49,0.2597,0.62,0.2311
model-1617599740,1617599741.855,0.59,0.2414,0.65,0.2447
model-1617599740,1617599741.873,0.49,0.2507,0.55,0.2442
model-1617599740,1617599741.891,0.48,0.241,0.52,0.2496
model-1617599740,1617599741.913,0.46,0.2617,0.59,0.246
model-1617599740,1617599741.931,0.55,0.2404,0.58,0.243
model-1617599740,1617599741.95,0.53,0.2512,0.57,0.2461
model-1617599740,1617599741.967,0.51,0.2485,0.57,0.2391
model-1617599740,1617599741.985,0.53,0.2545,0.59,0.2405
model-1617599740,1617599742.002,0.53,0.2436,0.59,0.2371
model-1617599740,1617599742.024,0.55,0.2459,0.5,0.2584
model-1617599740,1617599742.042,0.67,0.2273,0.63,0.2421
model-1617599740,1617599742.06,0.62,0.2338,0.6,0.2518
model-1617599740,1617599742.077,0.6,0.2456,0.55,0.2514
model-1617599740,1617599742.095,0.58,0.2377,0.58,0.233
model-1617599740,1617599742.113,0.51,0.2549,0.64,0.2246
model-1617599740,1617599742.135,0.56,0.242,0.47,0.2611
model-1617599740,1617599742.152,0.52,0.2507,0.53,0.2542
model-1617599740,1617599742.17,0.54,0.2419,0.57,0.2414
model-1617599740,1617599742.19,0.59,0.2395,0.57,0.2456
model-1617599740,1617599742.209,0.52,0.2418,0.67,0.2283
model-1617599740,1617599742.226,0.65,0.2337,0.62,0.2384
model-1617599740,1617599742.247,0.54,0.2383,0.57,0.2444
model-1617599740,1617599742.265,0.57,0.2489,0.57,0.2487
model-1617599740,1617599742.285,0.59,0.2465,0.59,0.2392
model-1617599740,1617599742.303,0.59,0.2437,0.57,0.2482
model-1617599740,1617599742.323,0.65,0.2405,0.51,0.247
model-1617599740,1617599742.341,0.61,0.2351,0.61,0.229
model-1617599740,1617599742.365,0.62,0.2275,0.6,0.2435
model-1617599740,1617599742.383,0.52,0.2455,0.55,0.2437
model-1617599740,1617599742.401,0.58,0.2461,0.56,0.2594
model-1617599740,1617599742.421,0.55,0.2435,0.49,0.2524
model-1617599740,1617599742.439,0.51,0.2499,0.52,0.247
model-1617599740,1617599742.456,0.61,0.2402,0.57,0.2419
model-1617599740,1617599742.477,0.61,0.2418,0.58,0.2467
model-1617599740,1617599742.494,0.55,0.2422,0.63,0.2375
model-1617599740,1617599742.512,0.54,0.246,0.6,0.2348
model-1617599740,1617599742.529,0.47,0.2543,0.62,0.2437
model-1617599740,1617599742.546,0.56,0.2445,0.56,0.2413
model-1617599740,1617599742.564,0.49,0.25,0.55,0.2449
model-1617599740,1617599742.585,0.65,0.2281,0.51,0.2484
model-1617599740,1617599742.603,0.57,0.2408,0.63,0.2355
model-1617599740,1617599742.623,0.57,0.2485,0.54,0.2464
model-1617599740,1617599742.641,0.53,0.2486,0.55,0.2464
model-1617599740,1617599742.659,0.48,0.2486,0.56,0.2518
model-1617599740,1617599742.677,0.62,0.2387,0.6,0.2355
model-1617599740,1617599742.698,0.63,0.2297,0.53,0.2524
model-1617599740,1617599742.715,0.54,0.2478,0.55,0.2412
model-1617599740,1617599742.733,0.59,0.237,0.54,0.2421
model-1617599740,1617599742.751,0.59,0.2337,0.57,0.2426
